year,latitudeSquare,longitudeSquare,sea_surface_temp_min,sea_surface_temp_max,sea_surface_temp_mean,sea_surface_temp_median
1851,"(0, 10]","(-100, -90]",19.4,26.7,23.517857,23.3
1851,"(0, 10]","(-90, -80]",21.7,27.8,25.121739,24.4
1851,"(0, 10]","(-80, -70]",25,28.9,27.211111,28.3
1851,"(0, 10]","(-70, -60]",NaN,NaN,NaN,NaN
1851,"(0, 10]","(-60, -50]",26.1,28.3,26.8,26.4
1851,"(10, 20]","(-100, -90]",24.4,28.3,27.345,27.8
1851,"(10, 20]","(-90, -80]",27.2,29.4,28.042857,27.8
1851,"(10, 20]","(-80, -70]",26.1,27.8,26.966667,26.7
1851,"(10, 20]","(-70, -60]",25,27.8,26.316667,26.1
1851,"(10, 20]","(-60, -50]",23.3,29.7,26.23622,26.1
1851,"(20, 30]","(-100, -90]",21.7,25,23.76,24.15
1851,"(20, 30]","(-90, -80]",16.7,28.9,25.677124,26.7
1851,"(20, 30]","(-80, -70]",16.7,28.3,24.568254,25
1851,"(20, 30]","(-70, -60]",19.4,29.4,24.978605,25
1851,"(20, 30]","(-60, -50]",19.4,30,26.044324,26.7
1851,"(30, 40]","(-100, -90]",NaN,NaN,NaN,NaN
1851,"(30, 40]","(-90, -80]",NaN,NaN,NaN,NaN
1851,"(30, 40]","(-80, -70]",5.6,29.4,19.696941,20.6
1851,"(30, 40]","(-70, -60]",5,29.4,21.194356,21.1
1851,"(30, 40]","(-60, -50]",10,28.3,21.412317,21.1
1851,"(40, 50]","(-100, -90]",NaN,NaN,NaN,NaN
1851,"(40, 50]","(-90, -80]",NaN,NaN,NaN,NaN
1851,"(40, 50]","(-80, -70]",2.8,21.7,12.727083,13.05
1851,"(40, 50]","(-70, -60]",-2.2,26.7,13.134156,13.9
1851,"(40, 50]","(-60, -50]",0.6,25.6,13.012411,13.9
