ID,Name,Date,Time,Event,Status,Latitude,Longitude
AL011851,            UNNAMED,18510625,2100, L, HU,28.2,-96.8
AL041851,            UNNAMED,18510823,2100, L, HU,30.1,-85.7
AL061851,            UNNAMED,18511019,1500, L, TS,41.1,-71.7
AL011852,            UNNAMED,18520826,600, L, HU,30.2,-88.6
AL031852,            UNNAMED,18520912,0, L, HU,28,-82.8
AL051852,            UNNAMED,18521009,2100, L, HU,29.9,-84.4
AL011854,            UNNAMED,18540626,1200, L, HU,26.2,-97
AL031854,            UNNAMED,18540908,2000, L, HU,31.7,-81.1
AL041854,            UNNAMED,18540918,2100, L, HU,28.9,-95.3
AL051855,            UNNAMED,18550916,300, L, HU,29.2,-89.5
AL011856,            UNNAMED,18560810,1800, L, HU,29.2,-91.1
AL031856,            UNNAMED,18560819,1100, L, TS,34.8,-76.4
AL051856,            UNNAMED,18560831,600, L, HU,30.2,-85.9
AL021857,            UNNAMED,18570913,0, L, HU,33.9,-78
AL041857,            UNNAMED,18570930,1000, L, TS,25.8,-97
AL031858,            UNNAMED,18580914,1500, L, TS,27.6,-82.7
AL031858,            UNNAMED,18580916,1700, L, HU,40.9,-72.2
AL031858,            UNNAMED,18580916,1800, L, HU,41.4,-72
AL051859,            UNNAMED,18590916,0, L, HU,30.3,-88.1
AL071859,            UNNAMED,18591017,1600, L, TS,26.4,-80.1
AL081859,            UNNAMED,18591028,1800, L, HU,27.7,-82.8
AL011860,            UNNAMED,18600811,2000, L, HU,29.2,-90
AL041860,            UNNAMED,18600915,400, L, HU,29.3,-89.6
AL061860,            UNNAMED,18601002,1700, L, HU,29.5,-91.4
AL051861,            UNNAMED,18610927,1700, L, HU,34.5,-77.4
AL071861,            UNNAMED,18611007,1200, L, TS,35.3,-75.3
AL081861,            UNNAMED,18611101,800, L, TS,26,-81.8
AL081861,            UNNAMED,18611102,1000, L, HU,34.7,-77.6
AL081861,            UNNAMED,18611103,800, L, TS,41,-72.3
AL081861,            UNNAMED,18611103,900, L, TS,41.2,-72
AL061863,            UNNAMED,18630918,1300, L, TS,34.6,-77.1
AL091863,            UNNAMED,18630929,1200, L, TS,29.3,-94.8
AL021865,            UNNAMED,18650630,1200, L, TS,26,-97.5
AL041865,            UNNAMED,18650913,2100, L, HU,29.8,-93.4
AL051865,            UNNAMED,18650907,0, L, TS,29.7,-92
AL071865,            UNNAMED,18651023,1000, L, HU,24.6,-81.7
AL071865,            UNNAMED,18651023,1400, L, HU,25.4,-81.1
AL011866,            UNNAMED,18660715,1200, L, HU,28.5,-96.5
