year,latitudeSquare,longitudeSquare,sea_surface_temp,sea_surface_temp,sea_surface_temp,sea_surface_temp
,,,min,max,mean,median
1851,"(0, 10]","(-100, -90]",19.4,26.7,23.557894736842105,23.3
1851,"(0, 10]","(-90, -80]",21.7,27.8,25.12173913043478,24.4
1851,"(0, 10]","(-80, -70]",25.0,28.9,26.983333333333338,26.4
1851,"(0, 10]","(-70, -60]",,,,
1851,"(0, 10]","(-60, -50]",26.1,28.3,26.8,26.4
1851,"(10, 20]","(-100, -90]",24.4,28.3,27.381818181818186,27.8
1851,"(10, 20]","(-90, -80]",27.2,29.4,28.008333333333336,27.8
1851,"(10, 20]","(-80, -70]",26.1,27.8,27.085714285714285,26.7
1851,"(10, 20]","(-70, -60]",25.0,27.8,26.316666666666666,26.1
1851,"(10, 20]","(-60, -50]",23.3,29.7,26.187499999999982,26.1
1851,"(20, 30]","(-100, -90]",21.7,25.6,24.0,24.4
1851,"(20, 30]","(-90, -80]",16.7,29.4,25.785714285714295,26.7
1851,"(20, 30]","(-80, -70]",16.7,28.3,24.569718309859145,25.0
1851,"(20, 30]","(-70, -60]",18.9,29.4,25.09283018867926,25.0
1851,"(20, 30]","(-60, -50]",19.4,30.0,26.193488372093032,26.7
1851,"(30, 40]","(-100, -90]",,,,
1851,"(30, 40]","(-90, -80]",,,,
1851,"(30, 40]","(-80, -70]",5.6,29.4,19.667221297836942,20.6
1851,"(30, 40]","(-70, -60]",5.0,29.4,21.130518518518542,21.1
1851,"(30, 40]","(-60, -50]",10.0,29.4,21.36580976863753,21.1
1851,"(40, 50]","(-100, -90]",,,,
1851,"(40, 50]","(-90, -80]",,,,
1851,"(40, 50]","(-80, -70]",2.8,22.2,12.94224137931034,13.3
1851,"(40, 50]","(-70, -60]",-2.2,26.7,13.176236044657111,13.9
1851,"(40, 50]","(-60, -50]",-2.2,25.6,13.052923076923088,13.9
1852,"(0, 10]","(-100, -90]",20.6,27.8,26.361111111111114,27.2
1852,"(0, 10]","(-90, -80]",23.3,28.9,27.204651162790686,27.8
1852,"(0, 10]","(-80, -70]",24.4,28.9,27.333333333333332,27.8
1852,"(0, 10]","(-70, -60]",,,,
1852,"(0, 10]","(-60, -50]",25.6,27.8,26.75833333333333,26.7
1852,"(10, 20]","(-100, -90]",26.7,28.9,27.9,28.05
1852,"(10, 20]","(-90, -80]",26.7,28.3,27.26153846153846,27.2
1852,"(10, 20]","(-80, -70]",25.6,29.4,27.154000000000007,26.95
1852,"(10, 20]","(-70, -60]",23.3,28.3,26.08620689655174,26.1
