year,latitude,longitude,sea_surface_temp
1851,40.47,-74.0,6.7
1851,35.83,-55.33,22.2
1851,43.57,-53.98,10.0
1851,8.4,-79.38,26.1
1851,43.32,-63.47,12.8
1851,28.32,-65.0,27.2
1851,37.33,-69.53,21.1
1851,42.33,-60.0,3.3
1851,29.0,-88.25,
1851,37.88,-59.17,23.3
1851,24.93,-57.75,28.9
1851,30.83,-66.56,
1851,34.7,-74.13,26.7
1851,23.93,-80.47,
1851,35.3,-68.72,22.8
1851,28.25,-79.67,26.7
1851,43.12,-51.3,11.1
1851,26.52,-62.8,28.3
1851,28.7,-57.7,
1851,36.62,-72.08,
1851,19.78,-58.23,
1851,21.1,-57.03,
1851,42.08,-50.0,6.7
1851,38.4,-66.83,25.6
1851,28.25,-53.23,
1851,1.77,-90.95,20.6
1851,42.03,-63.4,7.8
1851,41.58,-69.75,13.3
1851,42.62,-64.9,11.7
1851,25.83,-63.72,27.8
1851,41.57,-63.0,18.3
1851,18.98,-72.8,
1851,35.45,-52.93,
1851,22.03,-58.02,24.4
1851,39.93,-64.08,
1851,36.53,-54.53,20.6
1851,43.87,-66.4,4.4
1851,34.97,-73.22,
1851,41.3,-62.57,14.4
1851,41.18,-66.0,15.0
1851,34.35,-72.63,27.2
1851,23.28,-83.6,27.2
1851,41.45,-67.83,18.9
1851,38.3,-71.33,21.1
1851,39.98,-66.67,14.4
1851,39.78,-50.0,21.1
1851,43.12,-50.0,
1851,40.83,-68.87,15.0
1851,23.73,-82.85,26.1
1851,34.7,-75.33,
1851,35.82,-68.1,
1851,31.97,-70.97,27.2
1851,27.53,-58.0,
1851,37.8,-75.33,
1851,26.37,-75.1,
1851,40.57,-73.17,6.7
1851,29.1,-58.75,27.2
1851,44.4,-54.0,2.8
1851,39.83,-73.0,18.9
1851,37.17,-54.5,25.0
1851,37.83,-69.32,19.4
1851,20.57,-82.38,
1851,26.0,-76.33,20.0
1851,39.92,-59.92,17.8
1851,40.92,-68.92,14.4
1851,36.83,-73.03,20.0
1851,39.78,-59.2,16.7
1851,42.28,-69.37,7.8
1851,41.75,-64.47,
1851,38.63,-64.37,22.8
1851,40.32,-69.17,16.7
1851,27.87,-56.75,22.2
1851,46.8,-55.97,
1851,35.52,-61.62,20.0
1851,42.82,-50.12,2.2
1851,40.3,-67.87,8.9
1851,38.6,-56.1,
1851,22.83,-59.12,25.6
1851,14.23,-51.52,
1851,40.52,-68.0,5.0
1851,41.13,-68.58,15.6
1851,18.27,-53.97,
1851,25.95,-54.13,27.8
1851,33.73,-76.43,
1851,29.0,-51.67,20.6
1851,28.97,-88.05,26.7
1851,38.1,-74.7,
1851,42.6,-69.58,5.6
1851,33.23,-50.85,21.7
1851,48.0,-63.03,7.2
1851,42.43,-60.25,16.7
1851,39.07,-69.15,17.8
1851,32.32,-65.28,
1851,33.48,-55.22,
1851,35.05,-73.37,
1851,39.42,-70.17,
1851,23.48,-51.85,29.4
1851,38.57,-64.63,20.0
1851,33.73,-72.67,25.6
1851,39.25,-68.23,15.6
1851,13.93,-54.5,26.7
1851,42.87,-69.17,
1851,42.2,-61.67,15.6
1851,31.02,-70.73,
1851,36.9,-70.67,26.1
1851,7.3,-94.28,26.1
1851,40.32,-73.78,12.2
1851,31.0,-70.0,23.3
1851,39.83,-61.67,20.0
1851,46.5,-53.68,10.0
1851,32.12,-67.5,18.9
1851,40.08,-69.8,7.2
1851,26.5,-69.97,
1851,44.5,-62.93,
1851,36.68,-71.32,23.3
1851,40.33,-63.5,20.0
1851,44.67,-56.5,3.3
1851,40.85,-68.5,17.8
1851,41.87,-57.0,18.9
1851,43.37,-51.65,8.3
1851,38.2,-64.13,26.7
1851,44.23,-51.77,12.2
1851,36.88,-51.92,24.4
1851,38.28,-73.28,7.8
1851,16.08,-99.58,27.8
1851,23.38,-81.17,
1851,31.18,-69.93,22.8
1851,25.97,-73.2,
1851,39.85,-66.08,15.6
1851,40.45,-70.82,16.1
1851,29.38,-67.7,27.8
1851,45.0,-52.23,1.1
1851,26.7,-69.72,26.1
1851,39.48,-72.82,22.2
1851,28.15,-64.42,27.8
1851,16.5,-81.72,27.8
1851,25.2,-64.35,
1851,44.23,-52.75,15.6
1851,40.62,-67.9,16.7
1851,34.83,-69.48,27.8
1851,28.03,-60.42,23.3
1851,40.3,-63.42,18.9
1851,40.57,-52.67,23.3
1851,25.12,-79.5,26.7
1851,38.25,-67.48,24.4
1851,43.4,-52.33,15.0
1851,34.72,-75.33,25.6
1851,40.0,-66.0,15.6
1851,43.23,-59.2,1.7
1851,20.27,-58.45,24.4
1851,39.82,-65.43,9.4
1851,28.45,-64.47,21.1
1851,40.57,-71.83,5.0
1851,37.83,-71.5,14.6
1851,36.67,-61.75,18.3
1851,34.73,-51.0,18.9
1851,4.27,-80.6,
1851,40.12,-64.33,20.0
1851,19.82,-54.65,24.4
1851,39.85,-67.63,9.4
1851,40.43,-70.8,
1851,38.47,-71.08,15.6
1851,37.7,-73.0,22.2
1851,16.85,-81.53,
1851,41.83,-65.72,5.6
1851,26.6,-79.98,26.7
1851,38.58,-68.25,20.0
1851,41.83,-55.33,17.8
1851,41.43,-64.12,18.3
1851,37.6,-63.43,18.9
1851,25.52,-84.83,27.2
1851,34.0,-75.45,25.0
1851,41.5,-66.77,13.3
1851,16.83,-85.2,
1851,24.84,-80.45,
1851,38.22,-64.17,22.8
1851,35.15,-64.0,22.2
1851,40.25,-71.33,14.4
1851,37.47,-68.0,26.1
1851,41.72,-61.77,9.4
1851,38.92,-65.67,12.8
1851,39.0,-70.13,17.8
1851,27.63,-69.48,
1851,44.83,-51.92,12.2
1851,41.53,-52.17,5.6
1851,39.27,-51.4,25.6
1851,43.45,-53.75,18.3
1851,36.47,-61.42,25.6
1851,42.67,-61.18,3.3
1851,1.03,-91.68,23.3
1851,39.17,-71.5,17.8
1851,45.57,-50.17,7.2
1851,33.45,-72.63,20.0
1851,38.3,-50.2,17.8
1851,35.68,-64.28,20.0
1851,39.53,-66.85,
1851,41.62,-55.87,12.8
1851,34.3,-75.25,22.8
1851,25.73,-56.85,
1851,36.03,-63.5,
1851,40.27,-70.63,13.9
1851,35.38,-57.0,
1851,46.0,-55.5,10.0
1851,35.83,-55.42,25.6
1851,35.82,-73.63,23.9
1851,29.75,-58.0,27.2
1851,7.92,-84.65,
1851,39.48,-69.78,
1851,40.33,-73.0,3.3
1851,25.07,-84.02,26.1
1851,38.97,-60.88,26.7
1851,38.58,-72.87,25.6
1851,37.95,-63.58,23.3
1851,34.97,-70.12,22.2
1851,37.13,-60.97,25.6
1851,24.4,-79.47,26.7
1851,18.03,-53.23,
1851,45.25,-52.17,12.2
1851,30.58,-66.33,25.6
1851,45.78,-50.33,12.8
1851,30.72,-70.63,
1851,39.27,-58.8,20.0
1851,42.12,-69.35,
1851,36.95,-74.45,9.4
1851,31.9,-67.3,18.9
1851,41.32,-53.38,15.6
1851,19.87,-56.65,25.6
1851,36.13,-69.0,
1851,32.25,-66.25,
1851,38.42,-61.2,21.1
1851,34.62,-63.93,
1851,15.05,-56.85,27.8
1851,36.1,-69.5,22.2
1851,18.25,-79.52,
1851,30.33,-64.76,
1851,39.5,-73.0,
1851,42.25,-59.0,15.6
1851,33.52,-57.17,
1851,26.13,-79.0,
1851,34.58,-71.97,14.4
1851,33.47,-53.18,24.4
1851,39.3,-71.75,17.8
1851,24.2,-59.33,
1851,34.38,-73.92,26.7
1851,15.37,-51.5,27.8
1851,42.43,-60.33,3.3
1851,24.23,-80.33,28.3
1851,39.98,-71.3,20.0
1851,41.03,-59.72,17.8
1851,33.23,-66.78,
1851,33.28,-62.77,
1851,32.47,-77.0,25.6
1851,39.68,-72.5,15.6
1851,24.92,-59.27,
1851,22.78,-57.43,27.2
1851,40.23,-65.33,21.1
1851,37.75,-70.13,
1851,19.53,-74.5,27.8
1851,27.17,-62.83,27.8
1851,39.7,-57.33,15.6
1851,27.23,-65.93,
1851,18.65,-56.5,28.1
1851,14.22,-82.03,27.8
1851,38.8,-50.67,23.3
1851,43.53,-55.17,12.2
1851,38.12,-65.12,21.1
1851,16.83,-53.37,27.8
1851,27.3,-50.3,21.7
1851,35.05,-70.07,26.7
1851,10.7,-50.0,29.7
1851,41.63,-52.63,19.4
1851,39.97,-72.35,12.8
1851,40.33,-69.43,17.8
1851,18.62,-59.6,24.4
1851,33.22,-63.35,
1851,37.23,-66.67,
1851,47.1,-50.33,10.0
1851,35.72,-50.93,21.1
1851,41.32,-66.17,
1851,31.5,-77.0,26.1
1851,39.77,-71.88,8.3
1851,40.32,-53.15,17.2
1851,25.17,-61.83,
1851,3.62,-90.98,25.6
1851,39.92,-72.27,15.6
1851,17.53,-50.63,
1851,17.43,-51.0,26.1
1851,40.25,-71.75,6.7
1851,43.75,-52.6,
1851,24.92,-83.48,22.8
1851,41.3,-56.28,22.2
1851,38.92,-69.67,14.4
1851,40.57,-52.67,23.3
1851,15.38,-53.88,
1851,28.37,-58.92,22.8
1851,35.08,-72.33,
1851,33.95,-76.0,22.2
1851,42.2,-58.4,13.3
1851,43.17,-52.18,3.3
1851,43.9,-53.92,7.8
1851,39.67,-70.27,21.1
1851,34.27,-75.57,
1851,40.24,-62.45,12.2
1851,36.4,-73.33,26.7
1851,33.87,-64.73,
1851,30.13,-62.47,27.2
1851,42.63,-63.97,13.9
1851,38.67,-73.63,
1851,40.97,-64.58,16.7
1851,36.4,-72.9,
1851,32.73,-53.45,
1851,27.8,-64.38,27.8
1851,24.0,-81.5,26.7
1851,19.85,-58.8,
1851,29.88,-79.47,27.2
1851,39.43,-64.77,15.0
1851,17.63,-75.17,
1851,44.65,-63.57,
1851,40.58,-68.5,6.7
1851,21.82,-51.15,28.3
1851,23.63,-84.02,27.2
1851,18.42,-53.37,28.9
1851,33.78,-70.58,22.2
1851,13.3,-91.63,
1851,23.45,-52.78,28.9
1851,33.52,-59.48,
1851,36.93,-75.58,16.7
1851,24.8,-57.25,29.4
1851,40.95,-70.75,16.7
1851,40.28,-73.42,
1851,41.75,-50.62,19.4
1851,43.8,-55.67,17.2
1851,13.68,-93.3,26.1
1851,38.8,-53.0,17.8
1851,24.05,-88.0,
1851,40.33,-72.08,11.1
1851,39.83,-70.67,15.6
1851,17.58,-58.58,
1851,30.0,-87.67,
1851,15.58,-59.32,
1851,24.52,-82.68,
1851,41.18,-60.5,23.9
1851,35.17,-74.8,22.2
1851,37.17,-72.67,17.8
1851,33.42,-51.33,
1851,30.4,-61.2,
1851,25.58,-85.27,28.3
1851,38.65,-63.58,26.7
1851,41.27,-66.6,16.7
1851,38.9,-64.85,25.0
1851,38.08,-70.37,
1851,12.23,-80.55,28.9
1851,40.35,-54.8,13.9
1851,35.82,-72.5,
1851,43.65,-50.85,13.3
1851,39.15,-72.33,
1851,35.95,-59.12,21.7
1851,24.52,-81.12,25.0
1851,43.85,-52.27,8.9
1851,27.37,-79.5,26.1
1851,47.38,-52.17,8.9
1851,28.8,-55.8,20.6
1851,36.0,-60.0,15.0
1851,30.12,-64.8,
1851,39.25,-59.85,20.6
1851,42.1,-53.5,21.1
1851,30.0,-60.03,21.1
1851,36.1,-73.12,26.1
1851,29.6,-64.77,
1851,25.33,-62.82,22.8
1851,39.93,-69.8,
1851,35.2,-74.28,26.1
1851,31.33,-61.5,
1851,31.32,-68.43,21.1
1851,41.48,-66.62,11.7
1851,37.07,-75.08,
1851,34.73,-65.47,
1851,39.83,-70.4,10.6
1851,39.82,-62.97,11.1
1851,39.17,-74.67,
1851,34.1,-69.2,25.6
1851,40.85,-61.2,17.2
1851,38.0,-69.97,
1851,37.2,-64.62,
1851,41.03,-68.83,
1851,16.63,-69.83,26.1
1851,32.77,-68.05,
1851,17.73,-70.82,
1851,36.02,-74.0,21.1
1851,34.83,-53.33,
1851,24.58,-81.0,23.3
1851,42.83,-56.85,13.3
1851,43.28,-55.7,6.7
1851,13.62,-90.13,
1851,19.65,-73.52,
1851,40.63,-69.48,12.2
1851,36.87,-60.72,24.4
1851,37.5,-62.58,18.9
1851,12.58,-61.84,
1851,36.67,-74.47,25.6
1851,19.98,-60.32,25.6
1851,32.03,-62.9,26.7
1851,17.18,-56.83,25.6
1851,40.13,-57.82,23.3
1851,26.03,-61.92,23.3
1851,41.27,-58.07,16.7
1851,40.18,-61.68,11.1
1851,33.92,-71.8,25.0
1851,37.82,-72.4,17.8
1851,44.38,-52.68,7.2
1851,24.22,-81.9,26.7
1851,27.67,-65.0,25.6
1851,31.42,-79.12,26.7
1851,41.25,-52.37,23.3
1851,21.37,-73.55,
1851,41.35,-51.0,16.7
1851,41.7,-56.88,19.4
1851,35.38,-66.7,
1851,22.13,-55.28,
1851,23.53,-86.45,
1851,27.3,-55.53,
1851,34.27,-62.79,19.4
1851,8.37,-84.87,
1851,26.4,-91.13,24.4
1851,37.1,-73.8,
1851,19.8,-74.63,
1851,40.63,-64.33,20.0
1851,40.48,-62.2,12.8
1851,41.25,-65.13,14.4
1851,38.95,-62.93,19.4
1851,42.58,-60.0,18.9
1851,40.73,-63.25,14.4
1851,37.75,-72.08,13.3
1851,40.38,-73.83,10.0
1851,11.52,-64.45,
1851,31.53,-72.53,
1851,17.65,-51.87,25.6
1851,19.59,-73.47,
1851,29.15,-74.92,
1851,40.59,-68.65,13.3
1851,24.43,-67.8,24.4
1851,40.8,-68.67,10.6
1851,24.92,-80.12,
1851,39.42,-71.38,18.9
1851,40.47,-70.57,15.0
1851,29.75,-50.67,27.8
1851,28.47,-90.32,22.2
1851,43.38,-53.0,
1851,27.22,-58.92,26.7
1851,39.85,-72.07,8.9
1851,37.57,-70.57,19.4
1851,41.42,-64.92,
1851,43.22,-54.0,15.6
1851,37.3,-65.33,18.3
1851,15.73,-54.47,
1851,43.52,-58.67,14.4
1851,20.6,-63.63,25.6
1851,44.52,-50.82,12.2
1851,40.78,-66.5,13.9
1851,34.1,-50.67,26.1
1851,27.87,-80.2,21.7
1851,29.77,-62.52,
1851,36.75,-61.33,21.7
1851,43.3,-59.37,10.6
1851,43.53,-55.15,17.8
1851,41.37,-61.58,13.9
1851,24.4,-62.45,22.2
1851,25.1,-60.28,28.3
1851,26.52,-79.47,
1851,36.75,-73.33,12.2
1851,45.23,-52.15,11.7
1851,35.02,-53.78,24.4
1851,42.42,-64.9,2.2
1851,35.1,-57.63,
1851,21.62,-62.67,26.1
1851,39.2,-63.78,21.1
1851,39.4,-55.5,17.8
1851,26.88,-71.87,23.3
1851,15.0,-68.62,
1851,23.77,-83.5,
1851,32.15,-70.7,21.1
1851,40.5,-72.52,
1851,29.97,-72.42,21.7
1851,15.72,-97.93,27.8
1851,42.08,-68.32,16.7
1851,22.57,-58.23,28.3
1851,39.82,-52.52,12.2
1851,41.58,-63.83,11.7
1851,35.68,-70.33,
1851,42.83,-55.0,16.7
1851,41.18,-61.6,14.4
1851,44.47,-56.2,17.2
1851,33.0,-74.93,28.9
1851,38.33,-63.75,24.4
1851,27.27,-88.2,29.4
1851,40.33,-69.8,17.2
1851,40.4,-69.25,10.0
1851,37.15,-66.68,
1851,37.83,-65.25,23.9
1851,26.77,-73.97,20.6
1851,35.15,-70.85,18.9
1851,34.28,-72.05,
1851,41.47,-65.75,19.4
1851,38.88,-66.48,20.0
1851,27.65,-88.4,
1851,2.38,-90.35,
1851,29.95,-74.72,26.7
1851,41.47,-65.35,14.4
1851,26.9,-88.47,25.0
1851,35.67,-50.88,
1851,13.63,-51.5,24.4
1851,34.03,-72.55,21.7
1851,39.23,-73.33,
1851,39.87,-69.85,21.1
1851,33.67,-72.0,
1851,39.68,-71.6,16.7
1851,28.82,-92.17,25.6
1851,40.0,-64.0,15.0
1851,8.88,-99.77,26.7
1851,37.17,-70.93,14.4
1851,40.32,-65.55,18.9
1851,42.18,-61.47,
1851,42.33,-63.67,14.4
1851,45.18,-55.23,18.3
1851,23.42,-61.77,28.3
1851,39.72,-60.37,16.7
1851,44.27,-51.42,16.1
1851,37.92,-64.62,
1851,13.75,-75.67,26.7
1851,39.53,-67.22,16.1
1851,25.9,-85.73,27.8
1851,22.75,-57.2,
1851,39.0,-74.33,
1851,19.6,-73.47,
1851,34.97,-60.07,
1851,24.0,-62.0,27.2
1851,20.58,-67.6,
1851,40.45,-71.27,12.2
1851,40.78,-57.57,22.8
1851,42.8,-66.27,15.6
1851,36.73,-68.47,22.8
1851,38.98,-72.33,
1851,7.95,-78.58,26.7
1851,34.32,-69.28,
1851,40.0,-58.0,10.0
1851,1.17,-91.55,20.6
1851,22.15,-70.33,27.8
1851,35.6,-67.07,18.9
1851,28.93,-64.8,
1851,39.17,-53.13,22.2
1851,40.08,-64.63,24.4
1851,14.3,-50.82,27.8
1851,28.97,-59.33,22.2
1851,41.65,-62.17,10.0
1851,33.83,-55.38,20.0
1851,25.95,-85.18,24.4
1851,36.55,-63.5,
1851,28.22,-87.95,
1851,39.68,-73.75,
1851,31.43,-76.67,22.2
1851,40.75,-70.75,
1851,6.93,-51.15,
1851,42.4,-62.75,6.7
1851,25.98,-72.47,
1851,25.85,-55.83,29.4
1851,42.88,-58.0,16.1
1851,38.55,-60.05,23.3
1851,17.68,-80.88,
1851,42.8,-65.03,15.6
1851,22.25,-56.4,
1851,33.67,-56.85,18.9
1851,20.02,-73.72,
1851,14.42,-51.62,
1851,40.42,-73.93,21.1
